ID,gCF,gCF_N,gDF1,gDF1_N,gDF2,gDF2_N,gDFP,gDFP_N,gN,sCF,sCF_N,sDF1,sDF1_N,sDF2,sDF2_N,sN,posterior_prob,branchlength,chrom,Node_17,Node_18,Node_19,Pop_Nodes
2,12.69,49,11.14,43,0.26,1,75.91,293,386,55.08,1028.99,34.02,651.51,10.9,208.63,1889.13,100,0.00131878,mi6,FALSE,FALSE,FALSE,FALSE
3,3.89,15,3.89,15,9.59,37,82.64,319,386,30.89,228.78,21.56,160.8,47.56,331.36,720.94,100,0.000463431,mi6,FALSE,FALSE,FALSE,FALSE
4,26.42,102,7.77,30,0.78,3,65.03,251,386,53.05,241.01,33.3,150.29,13.65,58.99,450.29,100,0.00107274,mi6,FALSE,FALSE,FALSE,FALSE
5,15.03,58,2.07,8,4.4,17,78.5,303,386,61.66,132.49,17.49,37.1,20.85,43.74,213.33,100,0.00038724,mi6,FALSE,FALSE,FALSE,FALSE
6,65.54,253,0.26,1,0.26,1,33.94,131,386,88.63,2000.73,6.85,127.35,4.52,87.64,2215.72,100,0.00121226,mi6,FALSE,FALSE,FALSE,FALSE
7,34.46,133,17.62,68,22.54,87,25.39,98,386,49.16,344.07,24.29,168.91,26.54,184.59,697.57,100,0.000230884,mi6,FALSE,FALSE,FALSE,FALSE
8,62.44,241,7.77,30,9.59,37,20.21,78,386,67.56,735.91,15.97,175.72,16.47,183.26,1094.89,100,0.000731489,mi6,FALSE,FALSE,FALSE,FALSE
9,8.03,31,3.63,14,1.3,5,87.05,336,386,49.51,1066.34,30.82,547.28,19.67,388.51,2002.13,100,0.000988461,mi6,FALSE,FALSE,FALSE,FALSE
10,21.5,83,0,0,1.3,5,77.2,298,386,76.29,1493.03,9.74,181.9,13.96,240.73,1915.66,100,0.00175039,mi6,FALSE,FALSE,FALSE,FALSE
11,13.21,51,4.4,17,11.92,46,70.47,272,386,50.31,399.81,18.73,147.39,30.97,247.94,795.14,100,0.000368829,mi6,FALSE,FALSE,FALSE,FALSE
12,10.62,41,11.4,44,12.69,49,65.28,252,386,29.38,163.78,42.75,243.19,27.87,153.95,560.92,100,0.000150247,mi6,FALSE,FALSE,FALSE,TRUE
13,36.79,142,9.07,35,9.33,36,44.82,173,386,66.01,363.53,18.78,101.96,15.21,83.11,548.6,100,0.000387815,mi6,FALSE,FALSE,FALSE,FALSE
14,68.91,266,2.85,11,1.3,5,26.94,104,386,85.22,962.85,8.45,94.44,6.33,70.59,1127.88,100,0.000980468,mi6,FALSE,FALSE,FALSE,FALSE
15,12.18,47,0.26,1,1.3,5,86.27,333,386,55.79,563.6,19.45,209.85,24.76,257.69,1031.14,100,0.00111888,mi6,FALSE,FALSE,FALSE,FALSE
16,25.13,97,3.37,13,4.66,18,66.84,258,386,61.13,233.63,19.69,73.77,19.17,69.69,377.09,100,0.000600072,mi6,FALSE,FALSE,FALSE,FALSE
17,7.25,28,1.81,7,2.85,11,88.08,340,386,44.39,324.27,25.5,188.49,30.11,219.42,732.18,100,0.000412468,mi6,TRUE,FALSE,FALSE,FALSE
18,11.4,44,1.04,4,2.59,10,84.97,328,386,46.69,485.6,16.76,167.63,36.55,402.14,1055.37,100,0.000505645,mi6,FALSE,TRUE,FALSE,FALSE
19,8.81,34,3.89,15,8.81,34,78.5,303,386,39.06,239.47,15.03,94.99,45.91,317.82,652.28,100,0.000366787,mi6,FALSE,FALSE,TRUE,FALSE
20,43.26,167,4.15,16,4.92,19,47.67,184,386,72.83,379.98,15.53,83.83,11.63,59.88,523.69,100,0.000898608,mi6,FALSE,FALSE,FALSE,FALSE
21,24.61,95,6.22,24,8.81,34,60.36,233,386,72.31,292.3,14.86,52.78,12.83,47.88,392.96,100,0.000246005,mi6,FALSE,FALSE,FALSE,FALSE
22,37.82,146,2.59,10,2.85,11,56.74,219,386,79.55,537.51,11.06,66.2,9.39,56.33,660.04,100,0.000572614,mi6,FALSE,FALSE,FALSE,FALSE
